Title,positive,negative,neutral
city,0,0,1
analysis,0,0,1
ucl,0,0,1
highlights,0,0,1
craziest,0,1,0
world,0,0,1
hq,0,0,1
kids,0,0,1
sports,0,0,1
hotspur,0,0,1
perfect,1,0,0
top,1,0,0
best,1,0,0
extended,0,0,1
vs,0,0,1
iq,0,0,1
usa,0,0,1
greatest,1,0,0
post,0,0,1
history,0,0,1
high,0,0,1
nintendo,0,0,1
pakistan,0,0,1
golf,0,0,1
league,0,0,1
nbc,0,0,1
week,0,0,1
dude,0,0,1
tottenham,0,0,1
group,0,0,1
premier,0,0,1
pavilion,0,0,1
chelsea,0,0,1
battle,0,1,0
united,1,0,0
match,0,0,1
nov,0,0,1
funniest,1,0,0
funny,1,0,0
sport,0,0,1
official,0,0,1
switch,0,0,1
impossible,0,0,1
golazo,0,0,1
moments,0,0,1
liverpool,0,0,1
see,0,0,1
th,0,0,1
manchester,0,0,1
stage,0,0,1
